Year,Week,t,Deaths,Exposure,sn52,cs52,include,Baseline,lp,up,PopCode,Sex,Age,Date,mx_b,mx_b_u,mx_b_l,mx_d
2017,3,55,15,15262.40857482399,0.3546048870425355,0.9350162426854148,0,19.294245470257593,11,28,GRC,b,40,2017-01-22,126.41677999686297,183.45728239897355,72.07250379959675,98.28068699945011
2017,4,56,18,15260.711620321876,0.46472317204376795,0.8854560256532102,0,19.287173368625563,11,28,GRC,b,40,2017-01-29,126.38449535303363,183.47768240842643,72.08051808902468,117.94993869113128
2017,5,57,19,15259.012385716622,0.5680647467311555,0.8229838658936566,0,19.28050760593919,11,28,GRC,b,40,2017-02-05,126.35488535278296,183.4981143747529,72.08854493293865,124.51657761143947
2017,6,58,28,15257.311022437761,0.6631226582407952,0.7485107481711011,0,19.274257873367922,10,28,GRC,b,40,2017-02-12,126.32801314086568,183.51857649635994,65.54234874869998,183.51857649635994
2017,7,59,15,15255.607681914818,0.7485107481711007,0.6631226582407956,0,19.268433875550254,11,28,GRC,b,40,2017-02-19,126.30394198188876,183.53906697006488,72.10463345252549,98.32450016253475
2017,8,60,18,15253.902515577327,0.8229838658936558,0.5680647467311567,0,19.263045332757454,11,28,GRC,b,40,2017-02-26,126.2827352743731,183.559583991089,72.11269371078497,118.00258970855721
2017,9,61,17,15252.195674854815,0.8854560256532099,0.46472317204376845,0,19.258101983109192,12,28,GRC,b,40,2017-03-05,126.26445656515293,183.58012575305182,78.67719675130793,111.45936206435289
2017,10,62,20,15250.48731117681,0.9350162426854147,0.354604887042536,0,19.253613584841467,10.975000000000044,29,GRC,b,40,2017-03-12,126.24916956411508,190.15785796396432,71.9649134880868,131.14335031997538
2017,11,63,12,15248.777575972847,0.970941817426052,0.23931566428755785,0,19.2495899186278,11,28,GRC,b,40,2017-03-19,126.23693815928527,183.62127626622978,72.13692996173313,78.69483268552706
2017,12,64,24,15247.06662067245,0.9927088740980539,0.12053668025532369,0,19.246040789953128,11,28,GRC,b,40,2017-03-26,126.22782643225774,183.64188139662696,72.14502483438916,157.40732691139453
2017,13,65,18,15245.354596705149,1,3.061515884555943e-16,0,19.242976031542113,11,28,GRC,b,40,2017-04-02,126.22189867397992,183.66250402631766,72.15312658176765,118.06875258834708
2017,14,66,27,15243.641655500476,0.992708874098054,-0.12053668025532309,0,19.240405505841515,11,29,GRC,b,40,2017-04-09,126.21921940088941,190.24325456729505,72.16123449104295,177.12303011437814
2017,15,67,14,15241.92794848796,0.9709418174260519,-0.23931566428755813,1,19.238339107557646,11,28.024999999999864,GRC,b,40,2017-04-16,126.2198533714112,183.86781576919878,72.16934784874921,91.85189726204445
2017,16,68,16,15240.21362709713,0.9350162426854148,-0.35460488704253545,1,19.236786766249345,10.975000000000044,28.024999999999864,GRC,b,40,2017-04-23,126.2238656028174,183.88849845366576,72.0134262454594,104.98540500476955
2017,17,69,26,15238.498842757512,0.8854560256532102,-0.4647231720437679,1,19.235758448977293,11,28.024999999999864,GRC,b,40,2017-04-30,126.23132138845541,183.90919137890978,72.18558805238243,170.62048085108572
2017,18,70,20,15236.78374689864,0.8229838658936571,-0.5680647467311547,1,19.235264163010232,11,28,GRC,b,40,2017-05-07,126.24228631534828,183.76581610078466,72.1937134681654,131.26129721484617
2017,19,71,18,15235.068490950043,0.7485107481711012,-0.6631226582407952,1,19.23531395858899,11,29,GRC,b,40,2017-05-14,126.25682628217378,190.35030933550854,72.20184147208944,118.14846786341909
