"","Country","Year","Age","Deaths_females","Deaths_males"
"195","Canada","2020",70,12982.815383,18683.488614
"196","Canada","2020",75,15501.434775,20718.002702
"197","Canada","2020",80,19309.792054,22712.010944
"198","Canada","2020",85,26040.586456,24342.28216
"199","Canada","2020",90,26574.968013,17543.5436
"200","Canada","2020",95,16330.42983,6208.427862
"201","Chile","2020",0,3519.742013328,4335.74500436
"202","Chile","2020",5,86.980879415,85.715846091
"203","Chile","2020",10,107.997799481,119.176449088
"204","Chile","2020",15,165.665400552,385.078307077
"205","Chile","2020",20,226.06819092,662.623033876
"206","Chile","2020",25,287.30055192,873.330197217
"207","Chile","2020",30,367.282850608,1021.29219927
"208","Chile","2020",35,504.31691634,1157.144086525
"209","Chile","2020",40,753.42284613,1504.753445412
"210","Chile","2020",45,1153.121789952,2019.064279796
"211","Chile","2020",50,1748.629868284,2895.025556829
"212","Chile","2020",55,2533.834736079,3986.262130713
"213","Chile","2020",60,3531.2223582,5227.92488726
"214","Chile","2020",65,4886.996911644,6713.756002114
"215","Chile","2020",70,5786.16589656,7346.429064567
"216","Chile","2020",75,7201.286999272,7863.38179872
"217","Chile","2020",80,8890.77393456,7951.843435968
"218","Chile","2020",85,9591.689955046,6707.174844
"219","Chile","2020",90,7644.67618873,4272.26348987
"220","Chile","2020",95,3901.65837672,1620.1288737
"221","China","2020",0,323309.29995,514804.32456
"222","China","2020",5,11316.21092,15748.84896
"223","China","2020",10,7393.43732,12244.47921
"224","China","2020",15,10706.84636,17200.21758
"225","China","2020",20,15127.19174,26376.10305
"226","China","2020",25,21839.0952,40703.04597
"227","China","2020",30,38623.36004,65114.36344
"228","China","2020",35,38509.29892,63668.42868
"229","China","2020",40,54502.35292,84777.69748
"230","China","2020",45,97382.68488,157827.24042
"231","China","2020",50,164962.8774,271837.3672
"232","China","2020",55,221960.1293,366692.0503
"233","China","2020",60,331932.9444,539004.39725
"234","China","2020",65,586542.22702,921936.12912
"235","China","2020",70,679388.31088,990699.53712
"236","China","2020",75,704250.1408,959613.96636
"237","China","2020",80,769298.97912,788588.53824
"238","China","2020",85,631051.74681,501605.31012
"239","China","2020",90,303600.98636,187099.30836
"240","China","2020",95,113396.4972,44146.053
"241","Colombia","2020",0,20317.267278,27126.10077
"242","Colombia","2020",5,693.142676,791.559912
"243","Colombia","2020",10,536.199251,892.433388
"244","Colombia","2020",15,952.442602,3029.217156
"245","Colombia","2020",20,1483.280436,6510.554064
"246","Colombia","2020",25,1636.368489,6664.793856
"247","Colombia","2020",30,1771.609,5693.975022
"248","Colombia","2020",35,2137.343012,5397.173416
"249","Colombia","2020",40,2839.026083,4936.766856
"250","Colombia","2020",45,3510.751608,5164.120761
"251","Colombia","2020",50,5273.2477,7582.04475
"252","Colombia","2020",55,7443.358761,10067.15976
