Country,Sex,Age,Deaths,baseline,excess,excess_lp,excess_up,last_week,last_date
Hungary,m,95,74,57.09345638994385,16.90654361005615,0,45,20,2020-05-18
Hungary,m,100,35,29.210369200245918,5.789630799754082,0,35,20,2020-05-18
Hungary,m,All,10249,9093.42873167762,1155.5712683223796,87.92500000000041,3015.125,20,2020-05-18
Iceland,b,0,15,13.984260166994048,1.0157398330059522,0,15,21,2020-05-25
Iceland,b,10,14,13.927320732238288,0.07267926776171296,0,14,21,2020-05-25
Iceland,b,15,14,13.714837380003619,0.2851626199963817,0,14,21,2020-05-25
Iceland,b,20,14,13.978166380636525,0.02183361936347461,0,14,21,2020-05-25
Iceland,b,25,14,13.46630755561931,0.5336924443806909,0,14,21,2020-05-25
Iceland,b,30,15,12.738226921507863,2.2617730784921366,0,15,21,2020-05-25
Iceland,b,35,14,12.847403457818688,1.1525965421813125,0,14,21,2020-05-25
Iceland,b,40,4,2.0409535366834906,1.9590464633165092,0,4,21,2020-05-25
Iceland,b,45,2,1.1783786545723587,0.8216213454276413,0,2,21,2020-05-25
Iceland,b,50,7,3.974785381629369,3.025214618370631,0,7,21,2020-05-25
Iceland,b,55,7,4.030840072139938,2.9691599278600624,0,7,21,2020-05-25
Iceland,b,60,10,6.639692460141122,3.3603075398588778,0,10,21,2020-05-25
Iceland,b,65,31,16.272838462020133,14.727161537979867,2,31,21,2020-05-25
Iceland,b,70,32,24.71162280996937,7.28837719003063,0,31,21,2020-05-25
Iceland,b,75,68,37.292917155380785,30.70708284461922,5,60.024999999999956,21,2020-05-25
Iceland,b,80,70,61.50312968387995,8.496870316120056,0,52,21,2020-05-25
Iceland,b,85,58,45.337825148572975,12.662174851427029,0,42,21,2020-05-25
Iceland,b,90,23,16.305905321598942,6.694094678401057,0,19,21,2020-05-25
Iceland,b,95,11,8.765599043570553,2.2344009564294462,0,11,21,2020-05-25
Iceland,b,100,4,2.9696907721554604,1.0303092278445394,0,4,21,2020-05-25
Iceland,b,All,427,325.6807010971328,101.31929890286723,7,380.025,21,2020-05-25
Iceland,f,10,14,13.942543611925574,0.057456388074425546,0,14,21,2020-05-25
Iceland,f,15,14,13.983098173045025,0.016901826954973775,0,14,21,2020-05-25
Iceland,f,20,14,13.992719306835365,0.007280693164634089,0,14,21,2020-05-25
Iceland,f,25,14,13.876782931945268,0.12321706805473176,0,14,21,2020-05-25
Iceland,f,30,14,13.862968190164153,0.13703180983584762,0,14,21,2020-05-25
Iceland,f,35,14,13.74046279931199,0.2595372006880099,0,14,21,2020-05-25
Iceland,f,40,15,13.993956352815207,1.0060436471847936,0,15,21,2020-05-25
Iceland,f,55,2,1.3418058532388242,0.6581941467611758,0,2,21,2020-05-25
Iceland,f,60,8,3.1834925410681087,4.816507458931891,0,8,21,2020-05-25
Iceland,f,65,18,7.3863414387356094,10.61365856126439,1,18,21,2020-05-25
Iceland,f,70,17,10.212331744853493,6.787668255146507,0,17,21,2020-05-25
Iceland,f,75,14,6.767803622460777,7.232196377539223,2,14,21,2020-05-25
Iceland,f,80,16,10.180249538045594,5.819750461954407,0,16,21,2020-05-25
Iceland,f,85,63,39.6477396126662,23.3522603873338,1,54,21,2020-05-25
Iceland,f,90,5,3.3025548356145684,1.6974451643854316,0,5,21,2020-05-25
Iceland,f,95,8,7.19065212645016,0.8093478735498401,0,8,21,2020-05-25
Iceland,f,All,250,186.6055026791759,63.39449732082408,4,241,21,2020-05-25
Iceland,m,0,15,13.935728648552075,1.0642713514479238,0,15,21,2020-05-25
Iceland,m,10,14,13.912817931669288,0.0871820683307113,0,14,21,2020-05-25
Iceland,m,15,14,13.726507288603445,0.2734927113965552,0,14,21,2020-05-25
Iceland,m,20,14,13.99801873408545,0.0019812659145489464,0,14,21,2020-05-25
Iceland,m,25,14,13.60706294767854,0.39293705232146037,0,14,21,2020-05-25
Iceland,m,30,14,13.127623745700436,0.8723762542995633,0,14,21,2020-05-25
Iceland,m,35,11,10.94576893660828,0.054231063391719236,0,11,21,2020-05-25
