"","Country","Year","Age","Female","Male","Total"
"382","Cameroon","2020",5,1848488,1881835,3730323
"383","Cameroon","2020",10,1647542,1672667,3320209
"384","Cameroon","2020",15,1420203,1436047,2856250
"385","Cameroon","2020",20,1206119,1213879,2419998
"386","Cameroon","2020",25,1064780,1067009,2131789
"387","Cameroon","2020",30,930208,930610,1860818
"388","Cameroon","2020",35,768732,770292,1539024
"389","Cameroon","2020",40,600746,602489,1203235
"390","Cameroon","2020",45,470252,468356,938608
"391","Cameroon","2020",50,368259,360872,729131
"392","Cameroon","2020",55,286649,272697,559346
"393","Cameroon","2020",60,219795,200605,420400
"394","Cameroon","2020",65,167533,145366,312899
"395","Cameroon","2020",70,115950,93962,209912
"396","Cameroon","2020",75,70169,52653,122822
"397","Cameroon","2020",80,33831,22958,56789
"398","Cameroon","2020",85,10149,6152,16301
"399","Cameroon","2020",90,1426,767,2193
"400","Cameroon","2020",95,77,37,114
"401","Canada","2020",0,972207,1020925,1993132
"402","Canada","2020",5,966024,1011765,1977789
"403","Canada","2020",10,968771,1014230,1983001
"404","Canada","2020",15,971038,1017281,1988319
"405","Canada","2020",20,1155236,1208233,2363469
"406","Canada","2020",25,1343606,1389541,2733147
"407","Canada","2020",30,1310409,1315956,2626365
"408","Canada","2020",35,1330404,1321892,2652296
"409","Canada","2020",40,1239077,1224232,2463309
"410","Canada","2020",45,1193687,1189671,2383358
"411","Canada","2020",50,1207497,1215983,2423480
"412","Canada","2020",55,1378179,1380774,2758953
"413","Canada","2020",60,1287326,1275239,2562565
"414","Canada","2020",65,1102782,1047397,2150179
"415","Canada","2020",70,925427,867426,1792853
"416","Canada","2020",75,657537,568286,1225823
"417","Canada","2020",80,458654,355943,814597
"418","Canada","2020",85,313372,205330,518702
"419","Canada","2020",90,169081,83600,252681
"420","Canada","2020",95,59665,18474,78139
"421","Chile","2020",0,570363,591860,1162223
"422","Chile","2020",5,621865,643991,1265856
"423","Chile","2020",10,614053,635584,1249637
"424","Chile","2020",15,611781,632461,1244242
"425","Chile","2020",20,690833,712076,1402909
"426","Chile","2020",25,783760,808869,1592629
"427","Chile","2020",30,760568,785253,1545821
"428","Chile","2020",35,692548,707035,1399583
"429","Chile","2020",40,661077,663019,1324096
"430","Chile","2020",45,632832,621476,1254308
"431","Chile","2020",50,619294,595301,1214595
"432","Chile","2020",55,587199,550477,1137676
"433","Chile","2020",60,514838,467461,982299
"434","Chile","2020",65,432902,376586,809488
"435","Chile","2020",70,317940,263359,581299
"436","Chile","2020",75,235874,175953,411827
"437","Chile","2020",80,166728,107532,274260
"438","Chile","2020",85,104882,57264,162146
"439","Chile","2020",90,53137,24091,77228
"440","Chile","2020",95,18066,6021,24087
"441","China","2020",0,39476105,44456332,83932437
"442","China","2020",5,40415039,46320144,86735183
"443","China","2020",10,38912828,45349923,84262751
"444","China","2020",15,38238737,44103122,82341859
"445","China","2020",20,40884302,46273865,87158167
"446","China","2020",25,46466160,51522843,97989003
"447","China","2020",30,62295742,66443228,128738970
"448","China","2020",35,48745948,51345507,100091455
"449","China","2020",40,46984787,49289359,96274146
"450","China","2020",45,58664268,61173349,119837617
"451","China","2020",50,61097362,62348020,123445382
"452","China","2020",55,48782446,49958045,98740491
"453","China","2020",60,38596854,38917285,77514139
"454","China","2020",65,37622978,36526788,74149766
"455","China","2020",70,23524526,21425163,44949689
"456","China","2020",75,14337340,12207276,26544616
"457","China","2020",80,9297788,6883629,16181417
"458","China","2020",85,4738693,2843084,7581777
"459","China","2020",90,1573796,731228,2305024
"460","China","2020",95,420735,129150,549885
"461","Dominican Republic","2020",0,491041,511788,1002829
"462","Dominican Republic","2020",5,488284,508235,996519
"463","Dominican Republic","2020",10,478988,498257,977245
"464","Dominican Republic","2020",15,470057,488573,958630
"465","Dominican Republic","2020",20,462350,477213,939563
"466","Dominican Republic","2020",25,456260,458494,914754
"467","Dominican Republic","2020",30,415916,409657,825573
"468","Dominican Republic","2020",35,366422,372387,738809
"469","Dominican Republic","2020",40,336561,331702,668263
"470","Dominican Republic","2020",45,307628,298598,606226
"471","Dominican Republic","2020",50,277336,264099,541435
"472","Dominican Republic","2020",55,243099,229801,472900
"473","Dominican Republic","2020",60,199918,188646,388564
"474","Dominican Republic","2020",65,152487,141088,293575
"475","Dominican Republic","2020",70,107760,96390,204150
"476","Dominican Republic","2020",75,73762,63588,137350
"477","Dominican Republic","2020",80,52296,42550,94846
"478","Dominican Republic","2020",85,29842,23065,52907
"479","Dominican Republic","2020",90,13464,9850,23314
"480","Dominican Republic","2020",95,6227,4225,10452
"481","Ecuador","2020",0,814607,852480,1667087
"482","Ecuador","2020",5,787672,822971,1610643
"483","Ecuador","2020",10,760867,794178,1555045
"484","Ecuador","2020",15,765542,795398,1560940
"485","Ecuador","2020",20,770693,795841,1566534
"486","Ecuador","2020",25,727724,741930,1469654
"487","Ecuador","2020",30,679034,684119,1363153
"488","Ecuador","2020",35,615341,614345,1229686
"489","Ecuador","2020",40,554097,544919,1099016
"490","Ecuador","2020",45,501771,487453,989224
"491","Ecuador","2020",50,440121,424183,864304
"492","Ecuador","2020",55,372034,354801,726835
"493","Ecuador","2020",60,310214,291420,601634
"494","Ecuador","2020",65,253078,233026,486104
"495","Ecuador","2020",70,173174,154896,328070
"496","Ecuador","2020",75,130493,111561,242054
"497","Ecuador","2020",80,84427,67833,152260
"498","Ecuador","2020",85,47230,35155,82385
"499","Ecuador","2020",90,21406,13671,35077
"500","Ecuador","2020",95,9708,3647,13355
"501","France","2020",0,1769564,1850423,3619987
"502","France","2020",5,1911573,1995914,3907487
"503","France","2020",10,1950961,2044727,3995688
"504","France","2020",15,1901843,1985946,3887789
"505","France","2020",20,1828067,1868952,3697019
"506","France","2020",25,1851937,1822073,3674010
"507","France","2020",30,2009584,1931949,3941533
"508","France","2020",35,2074165,1995352,4069517
"509","France","2020",40,1999757,1943640,3943397
"510","France","2020",45,2213131,2169139,4382270
"511","France","2020",50,2216970,2146431,4363401
"512","France","2020",55,2192447,2079209,4271656
"513","France","2020",60,2070457,1902791,3973248
"514","France","2020",65,2005687,1785851,3791538
"515","France","2020",70,1896420,1627196,3523616
"516","France","2020",75,1222283,981805,2204088
"517","France","2020",80,1071980,740347,1812327
"518","France","2020",85,854083,475731,1329814
"519","France","2020",90,470532,194367,664899
"520","France","2020",95,172876,47352,220228
"521","Germany","2020",0,1976336,2082343,4058679
"522","Germany","2020",5,1851880,1970345,3822225
"523","Germany","2020",10,1832305,1979340,3811645
"524","Germany","2020",15,1968750,2150221,4118971
"525","Germany","2020",20,2170940,2382496,4553436
"526","Germany","2020",25,2302127,2521798,4823925
"527","Germany","2020",30,2619021,2822844,5441865
"528","Germany","2020",35,2655700,2774455,5430155
"529","Germany","2020",40,2507865,2551802,5059667
"530","Germany","2020",45,2576014,2607670,5183684
"531","Germany","2020",50,3328288,3352933,6681221
"532","Germany","2020",55,3413966,3393206,6807172
"533","Germany","2020",60,2965997,2854706,5820703
"534","Germany","2020",65,2532358,2291081,4823439
"535","Germany","2020",70,2042707,1791116,3833823
"536","Germany","2020",75,2005707,1631884,3637591
