"","Country","Year","Age","Female","Male","Total"
"270","Argentina","2017",45,1216798,1131592,2348390
"271","Argentina","2017",50,1146637,1048597,2195234
"272","Argentina","2017",55,1043578,942417,1985995
"273","Argentina","2017",60,949178,833869,1783047
"274","Argentina","2017",65,824015,685959,1509974
"275","Argentina","2017",70,661678,498431,1160109
"276","Argentina","2017",75,516326,341298,857624
"277","Argentina","2017",80,385157,214327,599484
"278","Argentina","2017",85,237144,102058,339202
"279","Argentina","2017",90,93986,31455,125441
"280","Argentina","2017",95,23647,6001,29648
"281","Australia","2017",0,761206,803139,1564345
"282","Australia","2017",5,743948,786535,1530483
"283","Australia","2017",10,692615,732771,1425386
"284","Australia","2017",15,726463,763751,1490214
"285","Australia","2017",20,816258,865924,1682182
"286","Australia","2017",25,889150,901325,1790475
"287","Australia","2017",30,886555,891566,1778121
"288","Australia","2017",35,797854,792466,1590320
"289","Australia","2017",40,837893,826388,1664281
"290","Australia","2017",45,791565,774701,1566266
"291","Australia","2017",50,789108,780104,1569212
"292","Australia","2017",55,736538,713018,1449556
"293","Australia","2017",60,647507,629071,1276578
"294","Australia","2017",65,580742,567327,1148069
"295","Australia","2017",70,429012,413963,842975
"296","Australia","2017",75,326123,302297,628420
"297","Australia","2017",80,259187,207977,467164
"298","Australia","2017",85,181710,120446,302156
"299","Australia","2017",90,89371,44822,134193
"300","Australia","2017",95,24339,7764,32103
"301","Austria","2017",0,197428,209588,407016
"302","Austria","2017",5,195581,206449,402030
"303","Austria","2017",10,203322,213059,416381
"304","Austria","2017",15,222244,234570,456814
"305","Austria","2017",20,269666,281956,551622
"306","Austria","2017",25,284832,291641,576473
"307","Austria","2017",30,295077,298567,593644
"308","Austria","2017",35,272570,274593,547163
"309","Austria","2017",40,302104,300547,602651
"310","Austria","2017",45,354598,357870,712468
"311","Austria","2017",50,348848,353532,702380
"312","Austria","2017",55,303265,296526,599791
"313","Austria","2017",60,245513,229615,475128
"314","Austria","2017",65,232975,208952,441927
"315","Austria","2017",70,235087,197995,433082
"316","Austria","2017",75,181512,140528,322040
"317","Austria","2017",80,129296,86163,215459
"318","Austria","2017",85,97766,48807,146573
"319","Austria","2017",90,49716,15581,65297
"320","Austria","2017",95,8611,2117,10728
"321","Bangladesh","2017",0,7188770,7504370,14693140
"322","Bangladesh","2017",5,7430525,7744060,15174585
"323","Bangladesh","2017",10,7773843,8107249,15881092
"324","Bangladesh","2017",15,7628808,7981862,15610670
"325","Bangladesh","2017",20,7280451,7460263,14740714
"326","Bangladesh","2017",25,7060356,6933917,13994273
"327","Bangladesh","2017",30,6607413,6420546,13027959
"328","Bangladesh","2017",35,5807433,5679303,11486736
"329","Bangladesh","2017",40,4887241,4867399,9754640
"330","Bangladesh","2017",45,4216325,4446075,8662400
"331","Bangladesh","2017",50,3390863,3690221,7081084
"332","Bangladesh","2017",55,2327643,2614161,4941804
"333","Bangladesh","2017",60,1508419,1724453,3232872
"334","Bangladesh","2017",65,1370005,1482589,2852594
"335","Bangladesh","2017",70,1104120,1150740,2254860
"336","Bangladesh","2017",75,739530,754902,1494432
"337","Bangladesh","2017",80,437771,419441,857212
