"","Country","Deaths.real","Deaths.coverage.total","Deaths_cover_rate","Cases.real","Cases.coverage.total","Cases_cover_rate"
"44","Denmark",554,533.1,96.23,11117,10667,95.95
"45","Serbia",235,0,0,10833,0,0
"46","Panama",287,0,0,9977,0,0
"47","Argentina",403,0,0,9283,0,0
"48","Czechia",304,304,100,8721,8477,97.2
"49","Afghanistan",193,0,0,8676,0,0
"50","Norway",234,233,99.57,8281,8249,99.61
"51","Bahrain",12,0,0,7888,0,0
"52","Algeria",568,560.9,98.75,7542,7377,97.81
"53","Kazakhstan",35,0,0,7234,0,0
"54","Morocco",196,0,0,7185,0,0
"55","Australia",100,0,0,7081,0,0
"56","Malaysia",114,0,0,7059,0,0
"57","Nigeria",200,0,0,6677,0,0
